epoch,accuracy,loss,val_accuracy,val_loss
0,0.5713804960250854,0.708301305770874,0.579457700252533,0.6774141192436218
1,0.5768798589706421,0.6779353618621826,0.5809588432312012,0.675370454788208
2,0.5778241753578186,0.6768395900726318,0.5811386108398438,0.6746633052825928
3,0.5782651305198669,0.6762837767601013,0.5812711715698242,0.6741858720779419
4,0.5788476467132568,0.6758183836936951,0.5815925002098083,0.6738028526306152
5,0.5790061950683594,0.6755184531211853,0.5815790295600891,0.6736470460891724
6,0.5794803500175476,0.675280749797821,0.5821498036384583,0.6733381152153015
7,0.579401969909668,0.6750872731208801,0.5823813080787659,0.6731020212173462
8,0.5796496272087097,0.6749009490013123,0.5824846625328064,0.6728663444519043
9,0.5796536207199097,0.6747654676437378,0.582385778427124,0.6727170348167419
10,0.5796870589256287,0.6746605038642883,0.5819992423057556,0.6726671457290649
11,0.5798444151878357,0.6744615435600281,0.5824172496795654,0.6724609732627869
12,0.5803300142288208,0.6743588447570801,0.5826689004898071,0.672370433807373
13,0.5800466537475586,0.6742353439331055,0.5826756358146667,0.672269880771637
14,0.5806071758270264,0.6741093993186951,0.58323073387146,0.6721071004867554
15,0.5803437829017639,0.6741146445274353,0.5828509330749512,0.6722221970558167
16,0.5807172656059265,0.6739917993545532,0.5833273530006409,0.6719486713409424
17,0.5806928277015686,0.6738707423210144,0.5832868814468384,0.6718461513519287
18,0.5809370279312134,0.673767626285553,0.5834351778030396,0.6717820167541504
19,0.5807320475578308,0.6737307906150818,0.5831700563430786,0.6718562245368958
20,0.5805420279502869,0.6737458109855652,0.5832419395446777,0.6717381477355957
21,0.5809872150421143,0.6735247373580933,0.583965539932251,0.6715855598449707
22,0.5810643434524536,0.6735015511512756,0.5840060114860535,0.6714837551116943
23,0.5813856720924377,0.6733899712562561,0.5838958621025085,0.6715182662010193
24,0.5811412334442139,0.6734131574630737,0.5839205980300903,0.6713503003120422
25,0.5813162922859192,0.673250675201416,0.5841430425643921,0.6713039875030518
26,0.5813007950782776,0.673286497592926,0.5844846367835999,0.6713188290596008
27,0.5814438462257385,0.6732352375984192,0.5844172239303589,0.6712074279785156
28,0.5816271305084229,0.6731501817703247,0.5847295522689819,0.6710672974586487
29,0.5816421508789062,0.6731031537055969,0.5847475528717041,0.6710871458053589
30,0.5818948149681091,0.673029899597168,0.5852756500244141,0.6709440350532532
31,0.5817749500274658,0.6730220317840576,0.5853295922279358,0.670966386795044
32,0.5818713307380676,0.6728853583335876,0.5852217078208923,0.6707677245140076
33,0.5821365118026733,0.6728171706199646,0.5853610038757324,0.6707599759101868
34,0.582155704498291,0.6728523373603821,0.5855385661125183,0.6710178256034851
35,0.5822098851203918,0.672794759273529,0.5853295922279358,0.6707515716552734
36,0.5822296142578125,0.6726916432380676,0.5850531458854675,0.67088383436203
37,0.5820543766021729,0.6726668477058411,0.585448682308197,0.67070072889328
38,0.5822855830192566,0.6726066470146179,0.5855385661125183,0.6706279516220093
39,0.5822725892066956,0.6725866198539734,0.5855812430381775,0.6707207560539246
40,0.5824486017227173,0.6726449728012085,0.5855048298835754,0.6706757545471191
41,0.5823949575424194,0.6725261807441711,0.5853880047798157,0.6705912351608276
42,0.5823397636413574,0.6724848747253418,0.5853228569030762,0.6706587076187134
43,0.5824196338653564,0.6724963188171387,0.5854801535606384,0.6706074476242065
44,0.582532525062561,0.6724440455436707,0.5855250954627991,0.6705213785171509
45,0.5822588801383972,0.6723706722259521,0.5851295590400696,0.6706932187080383
46,0.5824935436248779,0.6724162101745605,0.5856464505195618,0.6706092953681946
47,0.5825127959251404,0.6723695993423462,0.5854306817054749,0.6705489754676819
48,0.5826997756958008,0.672326922416687,0.5857363343238831,0.6704704761505127
49,0.5825380086898804,0.6722916960716248,0.5853205919265747,0.6704102754592896
